uid HMR VR rep update efficiency
HMR0.1_12 HMR0.1 VR0.1 12 9000 0.995027
HMR0.1_12 HMR0.1 VR0.1 12 9100 0.995076
HMR0.1_12 HMR0.1 VR0.1 12 9200 0.995041
HMR0.1_12 HMR0.1 VR0.1 12 9300 0.99507
HMR0.1_12 HMR0.1 VR0.1 12 9400 0.995088
HMR0.1_12 HMR0.1 VR0.1 12 9500 0.994787
HMR0.1_12 HMR0.1 VR0.1 12 9600 0.994735
HMR0.1_12 HMR0.1 VR0.1 12 9700 0.994591
HMR0.1_12 HMR0.1 VR0.1 12 9800 0.994606
HMR0.1_12 HMR0.1 VR0.1 12 9900 0.994511
HMR0.1_12 HMR0.1 VR0.1 12 10000 0.994535
HMR0.1_13 HMR0.1 VR0.1 13 0 1
HMR0.1_13 HMR0.1 VR0.1 13 100 0.999741
HMR0.1_13 HMR0.1 VR0.1 13 200 0.999569
HMR0.1_13 HMR0.1 VR0.1 13 300 0.999398
HMR0.1_13 HMR0.1 VR0.1 13 400 0.999207
HMR0.1_13 HMR0.1 VR0.1 13 500 0.999072
HMR0.1_13 HMR0.1 VR0.1 13 600 0.99896
HMR0.1_13 HMR0.1 VR0.1 13 700 0.998852
HMR0.1_13 HMR0.1 VR0.1 13 800 0.998729
HMR0.1_13 HMR0.1 VR0.1 13 900 0.998654
HMR0.1_13 HMR0.1 VR0.1 13 1000 0.99854
HMR0.1_13 HMR0.1 VR0.1 13 1100 0.998409
HMR0.1_13 HMR0.1 VR0.1 13 1200 0.998395
HMR0.1_13 HMR0.1 VR0.1 13 1300 0.998289
HMR0.1_13 HMR0.1 VR0.1 13 1400 0.998119
HMR0.1_13 HMR0.1 VR0.1 13 1500 0.998018
HMR0.1_13 HMR0.1 VR0.1 13 1600 0.997912
HMR0.1_13 HMR0.1 VR0.1 13 1700 0.997845
HMR0.1_13 HMR0.1 VR0.1 13 1800 0.997805
HMR0.1_13 HMR0.1 VR0.1 13 1900 0.997723
HMR0.1_13 HMR0.1 VR0.1 13 2000 0.997769
HMR0.1_13 HMR0.1 VR0.1 13 2100 0.997743
HMR0.1_13 HMR0.1 VR0.1 13 2200 0.997716
HMR0.1_13 HMR0.1 VR0.1 13 2300 0.997584
HMR0.1_13 HMR0.1 VR0.1 13 2400 0.997564
HMR0.1_13 HMR0.1 VR0.1 13 2500 0.99757
HMR0.1_13 HMR0.1 VR0.1 13 2600 0.997515
HMR0.1_13 HMR0.1 VR0.1 13 2700 0.997549
HMR0.1_13 HMR0.1 VR0.1 13 2800 0.997558
HMR0.1_13 HMR0.1 VR0.1 13 2900 0.997544
HMR0.1_13 HMR0.1 VR0.1 13 3000 0.997468
HMR0.1_13 HMR0.1 VR0.1 13 3100 0.997378
HMR0.1_13 HMR0.1 VR0.1 13 3200 0.997361
HMR0.1_13 HMR0.1 VR0.1 13 3300 0.997275
HMR0.1_13 HMR0.1 VR0.1 13 3400 0.997204
HMR0.1_13 HMR0.1 VR0.1 13 3500 0.997246
HMR0.1_13 HMR0.1 VR0.1 13 3600 0.997234
HMR0.1_13 HMR0.1 VR0.1 13 3700 0.997242
HMR0.1_13 HMR0.1 VR0.1 13 3800 0.997184
HMR0.1_13 HMR0.1 VR0.1 13 3900 0.997243
HMR0.1_13 HMR0.1 VR0.1 13 4000 0.997255
HMR0.1_13 HMR0.1 VR0.1 13 4100 0.997248
HMR0.1_13 HMR0.1 VR0.1 13 4200 0.997238
HMR0.1_13 HMR0.1 VR0.1 13 4300 0.997258
HMR0.1_13 HMR0.1 VR0.1 13 4400 0.997185
HMR0.1_13 HMR0.1 VR0.1 13 4500 0.997153
HMR0.1_13 HMR0.1 VR0.1 13 4600 0.997089
HMR0.1_13 HMR0.1 VR0.1 13 4700 0.997039
HMR0.1_13 HMR0.1 VR0.1 13 4800 0.996915
HMR0.1_13 HMR0.1 VR0.1 13 4900 0.99693
HMR0.1_13 HMR0.1 VR0.1 13 5000 0.996935
HMR0.1_13 HMR0.1 VR0.1 13 5100 0.996986
HMR0.1_13 HMR0.1 VR0.1 13 5200 0.996962
HMR0.1_13 HMR0.1 VR0.1 13 5300 0.99689
HMR0.1_13 HMR0.1 VR0.1 13 5400 0.996908
HMR0.1_13 HMR0.1 VR0.1 13 5500 0.996894
HMR0.1_13 HMR0.1 VR0.1 13 5600 0.99688
HMR0.1_13 HMR0.1 VR0.1 13 5700 0.996752
HMR0.1_13 HMR0.1 VR0.1 13 5800 0.996801
HMR0.1_13 HMR0.1 VR0.1 13 5900 0.996802
HMR0.1_13 HMR0.1 VR0.1 13 6000 0.996802
HMR0.1_13 HMR0.1 VR0.1 13 6100 0.996822
HMR0.1_13 HMR0.1 VR0.1 13 6200 0.996809
HMR0.1_13 HMR0.1 VR0.1 13 6300 0.996658
HMR0.1_13 HMR0.1 VR0.1 13 6400 0.99663
HMR0.1_13 HMR0.1 VR0.1 13 6500 0.996733
HMR0.1_13 HMR0.1 VR0.1 13 6600 0.996814
HMR0.1_13 HMR0.1 VR0.1 13 6700 0.996843
HMR0.1_13 HMR0.1 VR0.1 13 6800 0.996749
HMR0.1_13 HMR0.1 VR0.1 13 6900 0.996707
HMR0.1_13 HMR0.1 VR0.1 13 7000 0.996745
HMR0.1_13 HMR0.1 VR0.1 13 7100 0.996793
HMR0.1_13 HMR0.1 VR0.1 13 7200 0.996721
HMR0.1_13 HMR0.1 VR0.1 13 7300 0.996796
HMR0.1_13 HMR0.1 VR0.1 13 7400 0.996885
HMR0.1_13 HMR0.1 VR0.1 13 7500 0.996904
HMR0.1_13 HMR0.1 VR0.1 13 7600 0.996862
HMR0.1_13 HMR0.1 VR0.1 13 7700 0.996731
HMR0.1_13 HMR0.1 VR0.1 13 7800 0.996684
HMR0.1_13 HMR0.1 VR0.1 13 7900 0.996673
HMR0.1_13 HMR0.1 VR0.1 13 8000 0.996723
HMR0.1_13 HMR0.1 VR0.1 13 8100 0.996669
HMR0.1_13 HMR0.1 VR0.1 13 8200 0.996642
HMR0.1_13 HMR0.1 VR0.1 13 8300 0.996659
HMR0.1_13 HMR0.1 VR0.1 13 8400 0.996781
HMR0.1_13 HMR0.1 VR0.1 13 8500 0.996777
HMR0.1_13 HMR0.1 VR0.1 13 8600 0.996744
HMR0.1_13 HMR0.1 VR0.1 13 8700 0.996746
HMR0.1_13 HMR0.1 VR0.1 13 8800 0.996744
HMR0.1_13 HMR0.1 VR0.1 13 8900 0.996646
HMR0.1_13 HMR0.1 VR0.1 13 9000 0.996717
HMR0.1_13 HMR0.1 VR0.1 13 9100 0.996718
HMR0.1_13 HMR0.1 VR0.1 13 9200 0.996716
HMR0.1_13 HMR0.1 VR0.1 13 9300 0.99669
HMR0.1_13 HMR0.1 VR0.1 13 9400 0.996598
HMR0.1_13 HMR0.1 VR0.1 13 9500 0.996599
HMR0.1_13 HMR0.1 VR0.1 13 9600 0.996657
HMR0.1_13 HMR0.1 VR0.1 13 9700 0.996652
HMR0.1_13 HMR0.1 VR0.1 13 9800 0.996679
HMR0.1_13 HMR0.1 VR0.1 13 9900 0.996622
HMR0.1_13 HMR0.1 VR0.1 13 10000 0.996638
HMR0.1_14 HMR0.1 VR0.1 14 0 1
HMR0.1_14 HMR0.1 VR0.1 14 100 0.999753
HMR0.1_14 HMR0.1 VR0.1 14 200 0.999566
HMR0.1_14 HMR0.1 VR0.1 14 300 0.999396
HMR0.1_14 HMR0.1 VR0.1 14 400 0.99925
HMR0.1_14 HMR0.1 VR0.1 14 500 0.999139
HMR0.1_14 HMR0.1 VR0.1 14 600 0.999086
HMR0.1_14 HMR0.1 VR0.1 14 700 0.998967
HMR0.1_14 HMR0.1 VR0.1 14 800 0.998885
HMR0.1_14 HMR0.1 VR0.1 14 900 0.998891
HMR0.1_14 HMR0.1 VR0.1 14 1000 0.998885
