uid treatment rep update donate partner
HMR0.1_12 HMR0.1 12 100 0.152161 Host
HMR0.1_12 HMR0.1 12 200 0.227153 Host
HMR0.1_12 HMR0.1 12 300 0.418684 Host
HMR0.1_12 HMR0.1 12 400 0.672408 Host
HMR0.1_12 HMR0.1 12 500 0.812633 Host
HMR0.1_12 HMR0.1 12 600 0.84981 Host
HMR0.1_12 HMR0.1 12 700 0.861807 Host
HMR0.1_12 HMR0.1 12 800 0.863379 Host
HMR0.1_12 HMR0.1 12 900 0.864362 Host
HMR0.1_12 HMR0.1 12 1000 0.862537 Host
HMR0.1_12 HMR0.1 12 1100 0.866127 Host
HMR0.1_12 HMR0.1 12 1200 0.866439 Host
HMR0.1_12 HMR0.1 12 1300 0.865602 Host
HMR0.1_12 HMR0.1 12 1400 0.867582 Host
HMR0.1_12 HMR0.1 12 1500 0.872076 Host
HMR0.1_12 HMR0.1 12 1600 0.873949 Host
HMR0.1_12 HMR0.1 12 1700 0.874879 Host
HMR0.1_12 HMR0.1 12 1800 0.875794 Host
HMR0.1_12 HMR0.1 12 1900 0.879076 Host
HMR0.1_12 HMR0.1 12 2000 0.878755 Host
HMR0.1_12 HMR0.1 12 2100 0.876648 Host
HMR0.1_12 HMR0.1 12 2200 0.877793 Host
HMR0.1_12 HMR0.1 12 2300 0.877787 Host
HMR0.1_12 HMR0.1 12 2400 0.8783 Host
HMR0.1_12 HMR0.1 12 2500 0.880305 Host
HMR0.1_12 HMR0.1 12 2600 0.878247 Host
HMR0.1_12 HMR0.1 12 2700 0.877899 Host
HMR0.1_12 HMR0.1 12 2800 0.879019 Host
HMR0.1_12 HMR0.1 12 2900 0.879275 Host
HMR0.1_12 HMR0.1 12 3000 0.880425 Host
HMR0.1_12 HMR0.1 12 3100 0.88212 Host
HMR0.1_12 HMR0.1 12 3200 0.882158 Host
HMR0.1_12 HMR0.1 12 3300 0.88167 Host
HMR0.1_12 HMR0.1 12 3400 0.881587 Host
HMR0.1_12 HMR0.1 12 3500 0.882567 Host
HMR0.1_12 HMR0.1 12 3600 0.883554 Host
HMR0.1_12 HMR0.1 12 3700 0.882249 Host
HMR0.1_12 HMR0.1 12 3800 0.881943 Host
HMR0.1_12 HMR0.1 12 3900 0.881999 Host
HMR0.1_12 HMR0.1 12 4000 0.883674 Host
HMR0.1_12 HMR0.1 12 4100 0.884438 Host
HMR0.1_12 HMR0.1 12 4200 0.885342 Host
HMR0.1_12 HMR0.1 12 4300 0.886455 Host
HMR0.1_12 HMR0.1 12 4400 0.885584 Host
HMR0.1_12 HMR0.1 12 4500 0.886973 Host
HMR0.1_12 HMR0.1 12 4600 0.887209 Host
HMR0.1_12 HMR0.1 12 4700 0.886752 Host
HMR0.1_12 HMR0.1 12 4800 0.886653 Host
HMR0.1_12 HMR0.1 12 4900 0.884824 Host
HMR0.1_12 HMR0.1 12 5000 0.884277 Host
HMR0.1_12 HMR0.1 12 5100 0.884687 Host
HMR0.1_12 HMR0.1 12 5200 0.885575 Host
HMR0.1_12 HMR0.1 12 5300 0.886686 Host
HMR0.1_12 HMR0.1 12 5400 0.886578 Host
HMR0.1_12 HMR0.1 12 5500 0.884381 Host
HMR0.1_12 HMR0.1 12 5600 0.88453 Host
HMR0.1_12 HMR0.1 12 5700 0.883926 Host
HMR0.1_12 HMR0.1 12 5800 0.886053 Host
HMR0.1_12 HMR0.1 12 5900 0.888164 Host
HMR0.1_12 HMR0.1 12 6000 0.885794 Host
HMR0.1_12 HMR0.1 12 6100 0.884746 Host
HMR0.1_12 HMR0.1 12 6200 0.882301 Host
HMR0.1_12 HMR0.1 12 6300 0.881583 Host
