uid HMR VR rep update donate partner
HMR0.1_11 HMR0.1 VR0.1 11 5400 -0.993502 Sym
HMR0.1_11 HMR0.1 VR0.1 11 5500 -0.993369 Sym
HMR0.1_11 HMR0.1 VR0.1 11 5600 -0.993337 Sym
HMR0.1_11 HMR0.1 VR0.1 11 5700 -0.993488 Sym
HMR0.1_11 HMR0.1 VR0.1 11 5800 -0.993645 Sym
HMR0.1_11 HMR0.1 VR0.1 11 5900 -0.993761 Sym
HMR0.1_11 HMR0.1 VR0.1 11 6000 -0.993762 Sym
HMR0.1_11 HMR0.1 VR0.1 11 6100 -0.993966 Sym
HMR0.1_11 HMR0.1 VR0.1 11 6200 -0.993916 Sym
HMR0.1_11 HMR0.1 VR0.1 11 6300 -0.993821 Sym
HMR0.1_11 HMR0.1 VR0.1 11 6400 -0.993917 Sym
HMR0.1_11 HMR0.1 VR0.1 11 6500 -0.994021 Sym
HMR0.1_11 HMR0.1 VR0.1 11 6600 -0.994101 Sym
HMR0.1_11 HMR0.1 VR0.1 11 6700 -0.993972 Sym
HMR0.1_11 HMR0.1 VR0.1 11 6800 -0.994273 Sym
HMR0.1_11 HMR0.1 VR0.1 11 6900 -0.994322 Sym
HMR0.1_11 HMR0.1 VR0.1 11 7000 -0.99423 Sym
HMR0.1_11 HMR0.1 VR0.1 11 7100 -0.994148 Sym
HMR0.1_11 HMR0.1 VR0.1 11 7200 -0.994239 Sym
HMR0.1_11 HMR0.1 VR0.1 11 7300 -0.993927 Sym
HMR0.1_11 HMR0.1 VR0.1 11 7400 -0.994036 Sym
HMR0.1_11 HMR0.1 VR0.1 11 7500 -0.994011 Sym
HMR0.1_11 HMR0.1 VR0.1 11 7600 -0.994034 Sym
HMR0.1_11 HMR0.1 VR0.1 11 7700 -0.994389 Sym
HMR0.1_11 HMR0.1 VR0.1 11 7800 -0.994546 Sym
